alpha,beta_logGenLength,beta_diet_VertFishScav,residual_sd
-0.13141581261217794,-0.5563533707079696,0.24560934031355794,0.287595218001654
-0.28083408375619773,-0.30277469549779196,0.13701947454994923,0.2782512002720912
-0.13053502570746195,-0.5262040145327618,0.14101592109594088,0.293078711417337
-0.11365103209619118,-0.5114351298113962,0.21956284001495052,0.2969047585960138
-0.05800324651296229,-0.5955052332185126,0.20124919819591736,0.28462974532122476
-0.17560588759078524,-0.45136993959859745,0.27563361196877606,0.2912400882173491
-0.06651623745899658,-0.6338071178086778,0.26668375405575173,0.2743247959002147
-0.19945096226845294,-0.4005479473217333,0.18179055044708733,0.3019229221487992
-0.04826232953119551,-0.6449484036425571,0.22488248839782213,0.27181006692745013
0.040488896807567516,-0.7758440528080196,0.25426843529590454,0.29587275883727815
-0.06821369571017775,-0.592642745505978,0.1791641715369881,0.2917826430380044
-0.09191388881984225,-0.5855311500750883,0.18116336744728936,0.27282690339172616
-0.08667774491040504,-0.5969048653756924,0.17810163301348494,0.3008544683845509
-0.0283921969068592,-0.6687397303368849,0.223403971235655,0.2888281104064765
0.009664087016470644,-0.765376204623466,0.21974581821370312,0.2699004446677721
-0.05709123354866692,-0.6093755506246172,0.29271474482214904,0.28335268720436596
-0.006413980244383601,-0.725703866908625,0.26265115596297595,0.29146383705170076
-0.10058032199621587,-0.5945101270698959,0.31388867009474375,0.2876009547847167
-0.10934467107943216,-0.5374718641542706,0.1663034356348724,0.2947010557158474
-0.13529504664433872,-0.4621128596099149,0.17029089349205445,0.281223771865267
-0.17073451133157133,-0.449552471491845,0.18113126342097752,0.2773552151940324
-0.06692266826157821,-0.6175320697405234,0.22121009003677988,0.2852178939483309
-0.03920060241511936,-0.648316560026453,0.25067142601369563,0.25334417638762563
-0.14320140498263406,-0.45605431397734963,0.16056422197613004,0.2967943163873961
-0.03310150109381137,-0.6312522356266168,0.19660196345290068,0.27903210368022413
-0.12633738386897686,-0.5568485861011008,0.16637326813645423,0.26662708154519943
-0.046444788024937636,-0.653847562922265,0.2289355743834993,0.2743859078471139
-0.041993416874112705,-0.6802945934827863,0.2582536709078146,0.28088828586424813
-0.051174096320530445,-0.6506705250687358,0.24163309392846505,0.2887633172410327
-0.12116702675187441,-0.5478577643530727,0.1732672030764475,0.2798673185305102
-0.0892806228463241,-0.590420602352786,0.22868089396345181,0.2725214308358264
-0.16708013323497542,-0.5099815606102241,0.2914557028359634,0.27343740809557154
-0.07867113921706773,-0.6207155777287056,0.21478024119175732,0.2607459333778639
0.008648189243549398,-0.7515375164929362,0.2674972901231401,0.28186261968621756
-0.05462062927353065,-0.6351685979894243,0.1436936190779596,0.2847571190695289
