"number" "dsum" "count" "missing" "quant_error" "fname"
81 209.0 209 13159549 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hapalemur_meridionalis.tif"
82 11288.0 11288 13148470 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hapalemur_occidentalis.tif"
83 90205.0 90205 13069553 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hartertula_flavoviridis.tif"
84 1.13128e+06 1131280 12028478 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hartlaubius_auratus.tif"
85 22779.0 22779 13136979 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hemicentetes_nigriceps.tif"
86 811078. 811078 12348680 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hemicentetes_semispinosus.tif"
87 1175.0 1175 13158583 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hypogeomys_antimena.tif"
88 692953. 692953 12466805 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Hypositta_corallirostris.tif"
89 705335. 705335 12454423 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Indri_indri.tif"
90 325327. 325327 12834431 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lemur_catta.tif"
91 1.7815e+06 1781499 11378259 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lepidopygia_nana.tif"
92 3912.0 3912 13155846 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lepilemur_ankaranensis.tif"
93 113495. 113495 13046263 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lepilemur_edwardsi.tif"
94 258393. 258393 12901365 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lepilemur_leucopus.tif"
95 53237.0 53237 13106521 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lepilemur_microdon.tif"
96 1.02786e+06 1027860 12131898 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lepilemur_mustelinus.tif"
97 214180. 214180 12945578 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lepilemur_ruficaudatus.tif"
98 1.34876e+06 1348763 11810995 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Leptopterus_chabert.tif"
99 921097. 921097 12238661 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Lophotibis_cristata.tif"
100 92007.0 92007 13067751 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Macrotarsomys_bastardi.tif"
101 1.21486e+06 1214864 11944894 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Margaroperdix_madagarensis.tif"
102 374255. 374255 12785503 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Mentocrex_kioloides.tif"
103 981.0 981 13158777 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Mesitornis_unicolor.tif"
104 31852.0 31852 13127906 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Mesitornis_variegatus.tif"
105 199.0 199 13159559 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microcebus_berthae.tif"
106 5782.0 5782 13153976 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microcebus_griseorufus.tif"
107 1.10114e+06 1101143 12058615 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microcebus_murinus.tif"
108 12424.0 12424 13147334 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microcebus_myoxinus.tif"
109 2704.0 2704 13157054 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microcebus_ravelobensis.tif"
110 746939. 746939 12412819 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microcebus_rufus.tif"
111 7291.0 7291 13152467 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microcebus_tavaratra.tif"
112 360340. 360340 12799418 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_brevicaudata.tif"
113 650140. 650140 12509618 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_cowani.tif"
114 297990. 297990 12861768 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_drouhardi.tif"
115 15197.0 15197 13144561 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_dryas.tif"
116 347644. 347644 12812114 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_fotsifotsy.tif"
117 107064. 107064 13052694 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_gracilis.tif"
118 219162. 219162 12940596 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_gymnorhyncha.tif"
119 704036. 704036 12455722 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_longicaudata.tif"
120 83159.0 83159 13076599 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_majori.tif"
121 62323.0 62323 13097435 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_mergulus.tif"
122 705306. 705306 12454452 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_parvula.tif"
123 563005. 563005 12596753 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_principula.tif"
124 220569. 220569 12939189 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_pusilla.tif"
125 306091. 306091 12853667 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Microgale_soricoides.tif"
