[2026-08-18T04:09:56.975Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale soricoides" taxon=mammalia sdm=PPM status=retained scientific_seconds=15.333000 clump_seconds=1.866915 polygon_seconds=1.231484 distance_seconds=1.991611 other_scientific_seconds=10.242991 checkpoint_seconds=0.390000 cleanup_gc_seconds=0.742000 orchestration_seconds=0.000000 total_seconds=16.465000
[2026-08-18T04:10:16.963Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale taiva" taxon=mammalia sdm=PPM status=retained scientific_seconds=18.970000 clump_seconds=2.035497 polygon_seconds=1.403124 distance_seconds=3.207233 other_scientific_seconds=12.324146 checkpoint_seconds=0.427000 cleanup_gc_seconds=0.587000 orchestration_seconds=0.000000 total_seconds=19.984000
[2026-08-18T04:10:45.739Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Nesogale talazaci" taxon=mammalia sdm=PPM status=retained scientific_seconds=27.493000 clump_seconds=2.318875 polygon_seconds=1.773995 distance_seconds=5.572368 other_scientific_seconds=17.827762 checkpoint_seconds=0.905000 cleanup_gc_seconds=0.372000 orchestration_seconds=0.001000 total_seconds=28.771000
[2026-08-18T04:11:00.338Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microgale thomasi" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=13.783000 clump_seconds=2.019987 polygon_seconds=1.086379 distance_seconds=0.937309 other_scientific_seconds=9.739325 checkpoint_seconds=0.313000 cleanup_gc_seconds=0.499000 orchestration_seconds=0.000000 total_seconds=14.595000
[2026-08-18T04:12:21.644Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Oryzorictes hova" taxon=mammalia sdm=PPM status=retained scientific_seconds=78.698000 clump_seconds=2.236407 polygon_seconds=1.761063 distance_seconds=6.228361 other_scientific_seconds=68.472169 checkpoint_seconds=0.608000 cleanup_gc_seconds=1.995000 orchestration_seconds=0.002000 total_seconds=81.303000
[2026-08-18T04:13:22.133Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Oryzorictes tetradactylus" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=58.149000 clump_seconds=2.184073 polygon_seconds=1.113462 distance_seconds=1.325877 other_scientific_seconds=53.525588 checkpoint_seconds=0.346000 cleanup_gc_seconds=1.986000 orchestration_seconds=0.002000 total_seconds=60.483000
[2026-08-18T04:15:07.655Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Setifer setosus" taxon=mammalia sdm=PPM status=retained scientific_seconds=102.017000 clump_seconds=2.782413 polygon_seconds=3.303422 distance_seconds=11.349852 other_scientific_seconds=84.581313 checkpoint_seconds=1.555000 cleanup_gc_seconds=1.945000 orchestration_seconds=0.001000 total_seconds=105.518000
[2026-08-18T04:17:13.416Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Tenrec ecaudatus" taxon=mammalia sdm=PPM status=retained scientific_seconds=121.920000 clump_seconds=3.237050 polygon_seconds=2.772041 distance_seconds=13.265657 other_scientific_seconds=102.645252 checkpoint_seconds=1.766000 cleanup_gc_seconds=2.067000 orchestration_seconds=0.000000 total_seconds=125.753000
[2026-08-18T04:17:25.904Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Nesomys lambertoni" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=11.768000 clump_seconds=1.810811 polygon_seconds=0.971533 distance_seconds=0.172503 other_scientific_seconds=8.813153 checkpoint_seconds=0.261000 cleanup_gc_seconds=0.456000 orchestration_seconds=0.000000 total_seconds=12.485000
[2026-08-18T04:17:36.954Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Allocebus trichotis" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=10.314000 clump_seconds=1.320248 polygon_seconds=0.951605 distance_seconds=0.012844 other_scientific_seconds=8.029304 checkpoint_seconds=0.247000 cleanup_gc_seconds=0.485000 orchestration_seconds=0.000000 total_seconds=11.046000
