[2026-08-18T06:39:34.900Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=41/188 species="Coua serriana" occupied_cells=357213 patches=1024 elapsed_seconds=1.16
[2026-08-18T06:39:36.378Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=42/188 species="Crossleyia xanthophrys" occupied_cells=45658 patches=450 elapsed_seconds=1.48
[2026-08-18T06:39:37.474Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=43/188 species="Cryptoprocta ferox" occupied_cells=411390 patches=31 elapsed_seconds=1.09
[2026-08-18T06:39:38.555Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=44/188 species="Cryptosylvicola randrianasoloi" occupied_cells=65692 patches=506 elapsed_seconds=1.08
[2026-08-18T06:39:39.747Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=45/188 species="Cyanolanius madagascarinus" occupied_cells=1148506 patches=22533 elapsed_seconds=1.19
[2026-08-18T06:39:40.828Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=46/188 species="Daubentonia madagascariensis" occupied_cells=427138 patches=5332 elapsed_seconds=1.08
[2026-08-18T06:39:41.973Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=47/188 species="Echinops telfairi" occupied_cells=660343 patches=6985 elapsed_seconds=1.14
[2026-08-18T06:39:43.109Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=48/188 species="Eliurus antsingy" occupied_cells=767 patches=15 elapsed_seconds=1.14
[2026-08-18T06:39:44.519Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=49/188 species="Eliurus grandidieri" occupied_cells=10223 patches=59 elapsed_seconds=1.41
[2026-08-18T06:39:45.676Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=50/188 species="Eliurus majori" occupied_cells=505380 patches=9336 elapsed_seconds=1.16
[2026-08-18T06:39:46.830Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=51/188 species="Eliurus minor" occupied_cells=825536 patches=9748 elapsed_seconds=1.15
[2026-08-18T06:39:48.002Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=52/188 species="Eliurus myoxinus" occupied_cells=998628 patches=24068 elapsed_seconds=1.17
[2026-08-18T06:39:49.202Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=53/188 species="Eliurus tanala" occupied_cells=542149 patches=11357 elapsed_seconds=1.2
[2026-08-18T06:39:50.383Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=54/188 species="Eliurus webbi" occupied_cells=711727 patches=14771 elapsed_seconds=1.18
[2026-08-18T06:39:51.491Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=55/188 species="Eremopterix hova" occupied_cells=46400 patches=1765 elapsed_seconds=1.11
[2026-08-18T06:39:52.655Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=56/188 species="Eulemur albifrons" occupied_cells=230639 patches=4498 elapsed_seconds=1.16
[2026-08-18T06:39:53.774Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=57/188 species="Eulemur collaris" occupied_cells=79361 patches=1458 elapsed_seconds=1.12
[2026-08-18T06:39:55.014Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=58/188 species="Eulemur coronatus" occupied_cells=338616 patches=11150 elapsed_seconds=1.24
[2026-08-18T06:39:56.467Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=59/188 species="Eulemur flavifrons" occupied_cells=272 patches=1 elapsed_seconds=1.45
[2026-08-18T06:39:57.638Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=60/188 species="Eulemur fulvus" occupied_cells=1161803 patches=32056 elapsed_seconds=1.17
[2026-08-18T06:39:58.824Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=61/188 species="Eulemur macaco" occupied_cells=437532 patches=8113 elapsed_seconds=1.18
[2026-08-18T06:39:59.869Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=62/188 species="Eulemur mongoz" occupied_cells=24810 patches=430 elapsed_seconds=1.04
[2026-08-18T06:40:01.097Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=63/188 species="Eulemur rubriventer" occupied_cells=944632 patches=23106 elapsed_seconds=1.23
[2026-08-18T06:40:02.308Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=64/188 species="Eulemur rufifrons" occupied_cells=1025376 patches=17663 elapsed_seconds=1.21
[2026-08-18T06:40:03.477Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=65/188 species="Eulemur rufus" occupied_cells=589938 patches=13523 elapsed_seconds=1.17
[2026-08-18T06:40:04.643Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=66/188 species="Eulemur sanfordi" occupied_cells=72379 patches=2862 elapsed_seconds=1.17
[2026-08-18T06:40:05.769Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=67/188 species="Euryceros prevostii" occupied_cells=31004 patches=73 elapsed_seconds=1.13
[2026-08-18T06:40:06.929Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=68/188 species="Falco zoniventris" occupied_cells=735453 patches=833 elapsed_seconds=1.16
[2026-08-18T06:40:08.093Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=69/188 species="Falculea palliata" occupied_cells=350193 patches=4056 elapsed_seconds=1.16
[2026-08-18T06:40:09.231Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=70/188 species="Fossa fossana" occupied_cells=538099 patches=27 elapsed_seconds=1.14
[2026-08-18T06:40:10.531Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=71/188 species="Foudia madagascariensis" occupied_cells=1691667 patches=40249 elapsed_seconds=1.3
[2026-08-18T06:40:11.679Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=72/188 species="Foudia omissa" occupied_cells=573568 patches=8133 elapsed_seconds=1.15
[2026-08-18T06:40:12.853Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=73/188 species="Gactornis enarratus" occupied_cells=545046 patches=1819 elapsed_seconds=1.17
[2026-08-18T06:40:13.996Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=74/188 species="Galidia elegans" occupied_cells=552688 patches=49 elapsed_seconds=1.14
[2026-08-18T06:40:15.120Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=75/188 species="Galidictis fasciata" occupied_cells=46480 patches=14 elapsed_seconds=1.12
[2026-08-18T06:40:16.235Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=76/188 species="Geobiastes squamiger" occupied_cells=120950 patches=431 elapsed_seconds=1.11
[2026-08-18T06:40:17.730Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=77/188 species="Geogale aurita" occupied_cells=364722 patches=4134 elapsed_seconds=1.5
[2026-08-18T06:40:18.797Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=78/188 species="Gymnuromys roberti" occupied_cells=296276 patches=3609 elapsed_seconds=1.07
[2026-08-18T06:40:19.970Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=79/188 species="Haliaeetus vociferoides" occupied_cells=56404 patches=43 elapsed_seconds=1.17
[2026-08-18T06:40:21.136Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=80/188 species="Hapalemur aureus" occupied_cells=20298 patches=452 elapsed_seconds=1.16
[2026-08-18T06:40:22.277Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=81/188 species="Hapalemur griseus" occupied_cells=1070860 patches=18929 elapsed_seconds=1.14
